,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,3.284540964037322e-08,3.238833381461711e-08,1.4614029450549709e-08,-5.843972775719629e-10,1.8462362875924073e-08,3.1612446871403503e-09,-1.879192009535128e-09,1.9976042750428952e-08,-2.0712202451677158e-08,-2.61355446322451e-08,-1.6821658951413668e-08,3.4060647783151025e-09,-3.8007424847222125e-09,-3.170684566355741e-10,4.470785664143966e-08,-2.812497568207527e-08,-3.840681206787299e-09,-6.1708292803431335e-09,3.7514071990156733e-08,-1.2969015881345264e-08,-1.6778861060056856e-08,-1.651440304248102e-08,-5.527456196866893e-09,2.591194042075369e-08,-2.058547178798059e-08,-2.4825860669971124e-08,-4.044853062362822e-08,-2.5067237636470256e-08,-1.1953971701737134e-08,6.100067083886579e-09,-2.1242296995602087e-08,1.450572259845944e-08,1.5707369062045674e-08,2.467454771899665e-08,2.9525686582350138e-08,2.0579798500175435e-08,-1.0169387157166868e-09,1.0236216143107483e-08,7.210009450402756e-08,-1.002721859473411e-09,1.925894935697341e-09,1.9452499452646805e-08,6.276559915416022e-08,2.9910223647577887e-08,-8.845526855639187e-09,-7.451818323254004e-09,-7.219597435776559e-09,2.1327165739760734e-08,-3.772565220869042e-08,-5.0676368903988384e-08,2.141983278019437e-08,2.1370838550907557e-08,-2.464919829658375e-08,1.263219097500541e-08,6.758433940379711e-09,6.3450216951742475e-09,1.2602952734956529e-08,4.372095919290347e-08,-2.2636442849272774e-08,-2.343293732188005e-08,4.0543994240538015e-08,1.1198923934747022e-08,5.808590548295755e-08,-3.861359981695771e-08,3.8963400281152163e-08,2.641894465740244e-08,4.9706547465794873e-08,-1.0855940924094492e-08,-6.7680640019572304e-09,1.1821585253222614e-08,-1.6438084371601337e-09,3.1094543982212575e-08,1.3142945488527526e-08,6.889161194010082e-08,-1.982540716212825e-08,-1.0897162271222427e-08,1.6317872282877495e-08,-5.7047893222845645e-09,-1.324282128440342e-09,-1.1200043986989354e-08,8.235252343413946e-09,-6.05839830409195e-08,3.1251463348191215e-08,1.5776122932422436e-08,4.121515844185157e-08,-4.733965172776357e-08,-6.234674542583735e-08,1.109361269839024e-08,3.305159233606563e-08,-2.8257795335443465e-08,-5.8824173058441035e-08,3.2080529607488498e-09,5.04358846422178e-10,2.150446034370182e-08,3.3499032295945205e-09,-1.689792980121186e-08
1,4.498216243232726e-08,-8.38243251175122e-09,-2.070613790865131e-08,-2.5298940387302643e-08,2.022854878303536e-08,1.0035862784572788e-08,-2.59367424112032e-08,-1.1910989018122816e-08,-3.450363743574162e-08,9.922716989511727e-09,-1.02841076451436e-08,2.088219211016861e-08,-7.730894645200739e-08,2.8816822325149567e-08,-1.1626556935523822e-08,-1.9354330943598367e-09,-6.93954396066503e-08,2.1989479277530282e-08,-1.0973391439835257e-08,-9.873834355873853e-09,5.668129593806717e-09,-2.1292218069018458e-08,9.827220983158576e-09,-1.1051824086884786e-08,4.999218561585115e-08,1.585601246679836e-09,-2.2419721857740203e-08,-4.514174948601724e-08,3.051175062639772e-08,1.2200118449651379e-08,-1.480098508599233e-08,4.0326361288924694e-09,-2.718947150928578e-08,3.4323913578010254e-09,1.4720377293300798e-08,3.968973537787136e-08,-4.3282882564817114e-08,5.8539803205576875e-09,-7.705939301040061e-08,3.1009770559153346e-08,-4.1338505217932526e-08,-1.286780284906181e-08,-6.73143775515336e-08,-1.0615433407963197e-08,-9.975918879158458e-09,-1.5012994014343174e-08,5.385056841016721e-09,-4.168824631187041e-08,-1.930443903314858e-08,-1.5832501256425937e-08,2.7362593168515247e-08,7.68649652358083e-08,-1.8519212275012212e-08,-7.543399127515582e-09,1.3118159721733097e-08,-6.10284506784537e-09,1.6306714546150234e-09,5.7928187899685726e-09,-2.3374296689053325e-08,-7.032667485409093e-08,3.9536098477423386e-08,6.744938392586866e-09,7.854743991769176e-08,-2.7955843102553318e-08,3.8339041751994375e-08,1.7384058137349146e-08,6.970301847144817e-08,-6.784891187923136e-09,3.857625439513716e-09,1.5929406383243647e-08,-1.6087747944204969e-09,2.3768701369183185e-08,5.1755501151427215e-09,-7.500542280951582e-08,2.1529825392547545e-08,5.1295945323101456e-08,-7.605688742007835e-09,-1.59824036338312e-09,6.865132175080384e-09,-7.666786473656216e-09,-1.229222377310759e-08,6.172153121277816e-08,-1.7370642646915493e-08,-5.4180788719049583e-08,8.27386020004637e-08,-4.440336065683151e-08,7.215795009201238e-10,-2.317455883096486e-08,7.428700980498034e-08,-2.0433400285441193e-08,-3.898794645236049e-09,-1.1484619582554712e-08,3.542430649355526e-10,3.4662732499067165e-08,-4.880459474083274e-09,-1.412485012015577e-09
2,3.58568996169852e-08,-2.7232939452909563e-09,-1.4138974243975866e-08,-4.694999702952945e-08,1.3967408038461527e-08,2.4064187048081335e-08,-1.51930762780128e-08,-7.923743607886492e-09,-3.041139266748341e-08,5.911304082796827e-09,-7.627460607738097e-09,4.093808554907937e-08,5.199801339935539e-08,-1.1093406765827416e-08,3.1345322610465913e-08,-5.70483081456422e-09,4.2643489674689715e-08,-3.455190215544562e-08,2.139070528870693e-08,-1.5563294008337404e-08,-1.5916276758482842e-09,-1.2621674124572474e-09,-1.3645356325913365e-08,5.163255226362586e-09,-3.9054832389956374e-08,1.5671941528776157e-08,1.4564031544115518e-08,1.1367139175249606e-08,-2.445774843284561e-08,-4.2336063626819254e-10,3.6213693172859957e-09,-1.4964565954457996e-08,3.547904563310566e-08,-1.411864597148417e-08,-1.5537510627123702e-08,-9.66358833427625e-09,-1.9277360510946503e-08,-7.441567965304719e-09,4.1926828722506247e-08,-3.590788375610413e-08,-1.2333054831545675e-08,-3.8669125469575605e-09,3.648993660770503e-08,-1.4330578733291764e-08,8.017390100764495e-09,-6.1252132153047715e-09,6.7510309398593425e-09,2.9655479485610365e-08,-4.133329255871064e-08,3.981854202640288e-09,1.750851490232322e-08,5.40399332527603e-08,-3.648400123437853e-08,5.752110839394821e-09,2.605897294304478e-09,-2.4138388975307824e-09,2.763022870077871e-10,-9.07420026166547e-09,-2.071522267635048e-08,-4.517467354628329e-08,-4.144378144989578e-08,-1.8802690265227774e-08,4.2103949355314576e-08,5.721156422411229e-10,-3.078095990023961e-08,-5.4888269993258336e-09,4.0236465272503644e-08,2.5354068543456695e-08,-3.889798451078826e-09,1.2165525679760115e-08,9.428584378191702e-09,1.4599696173415466e-08,-1.7907799060004634e-09,-6.164749819749374e-08,-9.401588531428403e-09,4.9927601011086104e-08,-5.095515292499471e-09,4.9581996017550245e-09,-2.5601352066397773e-08,4.479239927715412e-09,-4.890783796598798e-10,4.6711284603540666e-08,-2.6383352694346843e-08,-5.055215294995176e-08,-8.632993708783672e-09,-4.319007571056284e-09,7.345729821660609e-08,-2.0910943882680193e-08,8.53653981848373e-10,2.0736659964161202e-08,6.367879893088092e-08,1.2616275648992692e-08,-3.718842034611761e-09,2.2997766729622928e-08,5.148574828908e-09,2.749780739683463e-08
3,-3.6071722197690694e-09,-9.01340422199198e-09,-2.8417094413167897e-08,2.0785411466706388e-08,4.882351173797661e-10,1.885621370491392e-08,-8.112697575127975e-09,-5.117766561529595e-10,6.4593403651111714e-09,6.116144940417618e-09,3.227066596462351e-08,-2.0764901190702565e-08,7.368795381627815e-08,1.505821138473418e-08,-1.515673216377538e-08,4.485222181522755e-09,7.03182137427943e-08,1.783340087186152e-08,-1.267892356052286e-08,6.317985669590374e-09,3.2633515454276605e-10,3.684202645935681e-09,2.376236435525849e-09,8.819168699024414e-10,-1.4040583307260362e-08,-4.8206949610737056e-08,-2.6877502871782225e-08,-3.644074467430474e-08,-2.0894822371211924e-09,-3.033962351162357e-09,-1.1515118064599046e-08,1.2898959899438004e-08,1.5594827546225233e-08,4.669333866426054e-08,1.461074179944138e-08,2.994376486117348e-08,2.60041024886119e-08,1.145525468946108e-08,6.727027497958359e-08,3.448938717032971e-09,2.4790794166710405e-08,2.417420604489971e-08,6.299917345957817e-08,1.239994499373221e-09,-2.021966917662697e-10,7.71662056958102e-09,-1.8032816087483617e-09,7.711910742947255e-10,1.7487980657496608e-08,1.4419011548511405e-08,-6.409749990979396e-10,7.903000868051421e-08,-1.1712541755362746e-09,1.0380176463272922e-08,-3.78483548794681e-09,-4.288650118327799e-09,-2.7930888716885036e-08,-1.9165147358034193e-08,1.3022173352013462e-09,-7.175766250771916e-08,1.9104646248833538e-08,-2.3055563449509544e-08,-6.459884178221858e-08,1.6369749102690853e-08,1.6223573575063618e-08,-2.533623644678352e-08,-6.125066707392114e-08,1.065587533292383e-08,-1.964217450157704e-09,3.3275154791851103e-10,-1.5957816424954835e-09,-1.5079388961789603e-08,-1.808125420449331e-08,7.652448196744617e-08,-2.2081745456238822e-08,2.1984799531404294e-08,-1.1960837120092265e-08,1.6359969224540818e-09,-8.215032950746058e-10,-7.740289367908368e-09,1.1396813287752184e-08,-7.26366276438585e-08,2.4503020047289476e-08,-1.4048809127635146e-08,-2.4439456051068736e-08,6.005043244138423e-09,-5.9248730554010214e-08,3.363428440703641e-08,-2.548125411365645e-08,4.4045103190109065e-09,-5.5013543321490504e-08,3.295015914602936e-08,-1.7841417419386927e-09,-1.1866963564754313e-08,-2.2504654820009773e-09,-9.985462756841519e-09
4,4.3489047669507764e-08,-2.3531806055091985e-08,6.325487552310446e-09,-4.331405996954601e-08,2.3315285402163907e-08,3.713889613726904e-10,7.402957098941217e-10,3.2440428980024643e-09,-3.8046935893073707e-08,2.329825195236978e-08,-9.467341956471248e-09,3.5276333670434275e-08,8.144016360343071e-08,-4.7561761227838425e-09,9.393802987960252e-09,3.561209564808572e-08,7.219420186979863e-08,-6.108892477483791e-09,5.29920003333252e-09,-4.106763547429112e-09,-4.202249005583783e-09,-3.0137124436846715e-09,-9.740851010209374e-09,-1.296020366013731e-08,-1.1906338701964398e-08,-5.3514275111964485e-08,-4.0311829766772644e-08,-4.6442316183781534e-08,-4.668688080237175e-09,-1.4349062204153717e-09,-1.9200362460739855e-08,1.0333048154611342e-08,1.5457905319327978e-08,5.078753477132593e-08,2.1106321638703136e-08,3.5232356850217846e-08,-5.3251767675964646e-08,-1.2243269701370801e-08,-7.802458899567075e-08,-1.0102332662371285e-09,-5.0970140708039106e-08,-3.800909073977415e-08,-6.612770745712362e-08,-1.641522950836502e-08,-4.071300737550149e-09,7.557576694475752e-10,1.5849167537282111e-09,-1.51262465478682e-08,-4.518825037551069e-09,-1.7680126153497544e-08,-2.4260681156942823e-08,-8.429941073715608e-08,5.815994382127096e-09,-6.9417415986410404e-09,-1.0355493968671382e-08,-3.1502035762551982e-09,2.5426424711203874e-08,2.4381137442105445e-08,2.003464250542099e-08,7.23510066117691e-08,5.7025597497533486e-08,1.0700747174407222e-08,5.7063066520062123e-08,-2.6786039067430326e-08,5.4539069317380143e-08,2.99300280076009e-08,4.788008050697395e-08,-1.1734550105482055e-08,2.234592781098819e-09,1.1151195476469785e-08,-1.5946555360954754e-09,1.6932286600001956e-08,1.5146286644733124e-08,-9.07141458400136e-08,2.3794749742330432e-08,2.4851687775349915e-08,5.754622847214765e-09,-2.3308364744737033e-09,4.713225906677025e-09,2.12843363905451e-09,-1.1596383695644702e-08,7.766249843139591e-08,-2.7816056982689082e-08,-3.203320161682289e-08,-8.115875868726287e-08,3.656865535548036e-08,1.7423364670930462e-09,3.435810123273336e-08,-7.273622662350358e-08,1.3890950059187708e-08,7.487003384243414e-09,2.403197464005465e-08,-5.223551832844117e-10,-2.8559472908692042e-08,9.646949950336383e-10,-7.684700750272965e-09
5,3.307957017096493e-08,3.0116203034678004e-08,3.277326977878036e-08,-3.182530600232744e-08,1.5551484445801686e-08,1.2923664699859068e-08,2.2394457147635568e-08,9.241786162159775e-09,-2.5880132043235586e-08,-2.2461978759972154e-08,-1.3632511505076745e-08,2.9295020400693308e-08,6.416390356192017e-08,-8.215499083778917e-09,-5.38403980107799e-08,2.8775703607203526e-08,5.737404295632729e-08,9.674936259351324e-09,-4.914152295125269e-08,3.05294317789099e-08,-1.3570241952038754e-08,1.3986738364961272e-08,-7.983595098121412e-09,-1.3669857318193054e-08,-1.4408569093509356e-09,1.5752068662192156e-08,-1.2859290405994948e-08,4.590230030730109e-08,-3.647620020875265e-09,-8.900071209790624e-09,-2.824230843819238e-08,-8.401752965858202e-09,5.697361048709916e-09,-1.9067604983316553e-08,-2.3030002399860292e-08,-4.095408516790348e-08,4.223120030948457e-08,2.124850352397203e-08,7.32823444639983e-08,4.773253492725391e-09,3.9734274173709786e-08,5.036719952561735e-09,6.586216728108756e-08,1.2087280750003063e-08,7.10562434000918e-09,-8.685286348127237e-09,-5.766939011872687e-09,9.10518905476928e-09,1.5273619979552827e-09,6.265943379741776e-08,-3.591704469692734e-08,-3.4732574606140893e-09,-1.0361475268388952e-08,-1.0154714498051673e-08,-1.9222576083381927e-08,1.3318917080178465e-09,-6.502367302711803e-09,-5.747251534758538e-08,1.3117114953418088e-08,8.130043279517816e-09,4.8507421500770905e-08,-1.1508698657129087e-08,-5.8536030935916547e-08,-2.3849953889425785e-08,4.231096769536389e-08,-1.215797335974962e-08,-5.518388935578723e-08,-9.133421989561082e-09,-5.763935885206412e-09,1.2458092727822459e-09,-5.450128362751473e-09,6.737086207618802e-09,-2.309144013177506e-08,-4.083401754800229e-08,2.0782927679838518e-08,-5.556662549264766e-08,-7.493382502621503e-09,2.3591034531424655e-09,6.158374481767728e-09,8.4344843165396e-09,1.025119658519565e-08,4.180975265349238e-08,-2.179477626836093e-08,4.7760540824560745e-08,6.771290141104727e-09,-1.6442048835877263e-08,-7.365435158300909e-08,6.33906101087847e-09,2.6435123988211754e-09,-1.2041578443803236e-08,-6.797505305728826e-08,2.093538199373354e-08,-7.3334086621732976e-09,-3.0025034690328045e-09,-3.862503251995464e-09,1.9771489038826865e-09
6,1.2038292192613036e-08,9.321167132862334e-08,2.8152920396019834e-08,-1.587742998568095e-08,4.489066629023313e-09,1.3933749946454782e-09,5.817890648918604e-09,3.7627300642466825e-10,-1.0936832172245374e-08,-8.445314519033399e-08,-2.9545463294653993e-08,2.2878051875109123e-08,6.505345287252984e-08,4.011742045518349e-08,-7.030250734916739e-08,-7.318331854809419e-09,6.119128743836966e-08,2.3189332510119316e-08,-6.664758712708995e-08,-6.399023127355828e-09,1.6978632570148872e-09,-1.8525041796705755e-08,-5.704406013248745e-10,5.815693093062226e-09,3.1862435132145e-08,9.499916109814962e-08,-4.3612668354634795e-09,7.328923842679585e-09,1.1197938420349163e-08,1.171596156642893e-09,-5.0974455996099015e-09,-5.750528032542815e-10,-3.265258100249603e-08,-8.835914920842952e-08,6.830521930690604e-09,2.224692577742998e-09,-4.390173491852681e-08,1.1692279720937076e-08,7.93304303533921e-08,1.6913692828868186e-08,-4.0465867730468376e-08,1.5704897718459127e-08,7.574615813389823e-08,2.078555183787286e-08,1.4764664274098818e-10,-4.302340702818909e-09,-4.894519751269427e-10,2.43637011831089e-09,8.130820765761677e-09,9.12118692879884e-08,-3.4027437218603965e-08,3.2676311636977085e-08,-1.5703722968527851e-09,9.521612152244328e-10,-1.5593927853660153e-08,-1.5046547373645404e-10,-1.3624412564824789e-08,-8.772262737614147e-08,2.601238404095354e-08,-2.156309793582452e-08,5.912299742227428e-08,8.418170432223186e-09,5.717936597242426e-08,-3.702072714499122e-08,5.757633567481608e-08,2.9670993601422447e-09,5.239009510780847e-08,-3.1672119333596993e-08,-5.045527581852591e-10,2.3439296391699654e-09,-8.201790554730172e-10,1.6732668503582278e-08,6.218447088825841e-10,-6.496325881413705e-08,3.930311304966623e-08,-5.8888458112658384e-08,2.9263071680094445e-09,-6.916961602811429e-10,1.649672952019554e-08,-1.349532188622727e-10,-2.480385409940443e-09,6.637715683242996e-08,-2.569287037236081e-08,4.816779887352856e-08,3.079411955750598e-08,-3.0128548214231334e-08,-6.70387299491822e-08,1.9070837395843077e-08,2.6409576256472157e-08,-2.259751772649977e-08,-6.483728280949688e-08,2.8837020080517498e-08,-9.588173262479428e-10,1.0134237281015261e-08,6.805055273222534e-10,-7.277980670217161e-09
7,3.001460757100334e-08,-2.3472393326621784e-08,-4.568323881203023e-08,-3.2181282397601923e-08,8.55278933249114e-09,1.1135547197581402e-08,-3.594202018576144e-08,-8.032061912475303e-09,-2.8093723299827784e-08,2.242172598688836e-08,1.3283377023440518e-08,2.5328057773924516e-08,5.7611333263758876e-08,-3.7666311328161016e-08,1.3782366009189985e-08,-3.84769273848997e-08,5.20647888095004e-08,-9.848891912605523e-10,1.3807753602966757e-08,1.519931450492029e-08,7.115693432946476e-09,3.2467130690674236e-08,-7.2184907336506765e-09,4.685416104865305e-08,-1.1490165021208465e-08,-5.5887701568227035e-08,-3.1771513549421134e-08,-2.734887360464046e-08,-6.091659796519656e-09,8.621737399177678e-09,-1.6282347525842393e-08,-4.178749428832073e-09,3.295098204204779e-09,5.0486847044410184e-08,1.1687513483862228e-08,1.9379079717595285e-08,-6.687492153956315e-08,1.764846767415902e-08,3.1191098397480616e-08,1.2552612291690478e-08,-5.921162816963233e-08,-2.4578824097323243e-09,2.810643706383997e-08,6.110504387053191e-09,-1.2719397209776026e-09,-3.1311610743603565e-08,5.728589941839991e-09,-3.489969186617655e-09,1.1278192781807485e-08,8.55000751208469e-08,-1.6196359307369026e-08,4.018959429888039e-09,1.0265196898114814e-09,-8.22687663486428e-09,-2.758995506612129e-09,4.995507784198372e-09,-5.403348439364513e-09,-7.606925632730497e-08,2.2991705384474214e-08,4.628936454616987e-09,7.909906673477819e-08,-1.2407857066586559e-08,3.972638176302494e-08,-3.894978239393124e-08,7.249489846215903e-08,5.076045476697531e-09,3.289695831242306e-08,-2.018910898718049e-08,1.5051360753705091e-09,2.795122938044571e-08,-2.3261304843737003e-09,2.1256513846453094e-08,-6.390477756185439e-10,8.248666366654326e-08,-3.065779282475111e-08,1.9301059984103674e-08,1.1546439717360897e-09,-6.58530765159918e-09,-8.578236201395679e-09,2.064221410478966e-11,9.537033952695613e-09,-7.608516872911827e-08,2.945994433900876e-08,-9.06744438727041e-09,9.767212163391462e-09,1.9899336456456383e-08,8.362748977732869e-08,-4.0279780734722635e-08,1.3323598790175292e-08,6.9832464213616626e-09,7.553395868020954e-08,-2.6674473032957443e-08,4.570830864932949e-09,1.0987096173550375e-09,3.783594498095211e-11,2.6185587740401956e-08
8,-5.218326644880516e-09,-5.217961524711589e-09,-4.892886148085287e-08,3.4767920980023345e-08,-1.4066015342977112e-09,6.5238299922209915e-09,-2.978854858500434e-08,-8.763124695517522e-09,7.295127934613282e-09,2.233481170085402e-09,3.796577493221749e-08,-2.913312510364145e-08,6.041497352145256e-09,-5.4360900741725504e-08,4.765288282275792e-08,-5.991681759866921e-09,4.335437181931148e-09,-2.2852861394487293e-08,4.188062089619724e-08,-4.5267448463526776e-10,6.396658036988824e-09,3.409938394187665e-08,-3.470510489830741e-09,1.0106880469553026e-08,-2.2521603820677253e-08,-7.081303896020872e-08,-4.193859859501689e-08,2.633645012377001e-08,-6.998586379312627e-09,6.701501361265615e-09,-3.3486097383927716e-08,5.368203861331152e-09,1.0323527357869146e-08,5.887623220672564e-08,9.197449942772892e-10,-2.822353971409194e-08,3.339831351886389e-08,1.724024435764874e-08,-4.819914825564567e-08,4.6873103362344454e-09,2.8221356859872097e-08,5.128465408397307e-09,-4.2345355077901505e-08,-1.713142853936416e-08,-9.641553101756835e-10,-6.756361353388747e-09,-8.354856614906971e-09,-1.757385951945969e-08,-1.3712222002546124e-11,8.288463919739045e-08,1.872623733249959e-08,-7.291240750749997e-09,-1.0345808137525605e-08,-3.0794193508920807e-09,2.8349348999269987e-08,-2.410929622259032e-09,-1.4705774932098116e-08,-7.194770587995276e-08,1.786860975554422e-08,1.4329120754014182e-08,2.40125757043263e-08,2.7406554975533806e-09,-6.36846002312306e-08,5.24820176031212e-09,1.8020064537963194e-08,-1.7367426332036395e-08,-5.6991372151633936e-08,-2.338373011165862e-08,2.5572662275943265e-09,-1.466754743941026e-08,-1.059147455384784e-09,-2.0165845954664273e-08,-1.1261324491742069e-09,4.5983141604523144e-08,-2.376741338190434e-08,7.921142108625523e-08,-1.7230809464317732e-08,2.299103230175145e-09,-7.84579991961217e-09,-4.107145101550237e-09,-2.0677430295841952e-08,-4.8864561711287934e-08,1.9264382323664308e-08,-6.551886433902133e-08,-7.309408905244229e-09,-9.951112771610338e-09,-7.805422613640108e-08,2.6159652227234414e-08,-1.2040508538100072e-08,-2.0715219063907952e-08,-6.871947031923906e-08,6.698947890810477e-09,-1.3345650958353881e-09,-1.3082344890235874e-08,1.926139446237318e-09,-1.7157589967739614e-08
9,-6.757864350212308e-08,1.5459657122915757e-08,5.161196226791547e-09,-2.0092830174327644e-09,-4.440334702723475e-08,-1.151653008680769e-08,2.294042815664765e-09,-7.499671000700091e-09,3.904900577796826e-08,-1.3191355701399313e-08,-1.540613258088373e-08,6.635115382119901e-10,-3.606071411603021e-08,-2.403729828532863e-08,4.463988636963479e-08,-3.596044194207806e-08,-2.9575567640406338e-08,-3.0787091620597083e-09,3.7217408182825477e-08,-2.432117961812771e-08,1.0085133405726735e-08,8.79471322933472e-09,1.6695433321815635e-09,2.2344171526283702e-08,4.097265426343883e-08,4.185912209901856e-08,3.4674758913716146e-08,-5.238242280143684e-08,2.2979870719287418e-08,-8.461385027681886e-09,3.039406508913372e-08,-3.0631180497715884e-09,-1.4925837693195943e-08,-3.2544556584755894e-08,-1.1703717127337596e-08,4.750592714078337e-08,-4.3413005183155123e-08,1.2527112606549679e-08,-5.103285781971294e-08,1.417364383359192e-09,-3.962269532234219e-08,-1.4722519737870644e-08,-4.278485587722306e-08,-4.947149272623658e-09,-1.1893292328050785e-08,-2.2097863137854496e-08,3.681208920686569e-09,-1.2606694777314446e-08,2.2508758641237692e-08,2.6540256369254375e-08,4.010223866331988e-09,-7.6153148444278e-08,2.477501820178427e-08,-4.931685067468948e-09,1.813677067718518e-08,1.8282227893244819e-09,4.023384006908427e-09,-1.659559093031322e-08,1.9112581078141105e-08,6.922351646174364e-08,-2.1033460987934497e-08,1.2395977906686147e-09,6.755551179577454e-08,-4.750266805777516e-09,-1.51383889198155e-08,1.802618994769314e-08,6.091542660496657e-08,1.948005041079563e-08,-1.450240641640648e-09,1.2410794368277432e-08,2.798486292685418e-09,1.8999610609325e-08,-1.481777593276716e-08,8.69579934497304e-08,-3.222984590706988e-09,-2.8385807371780123e-08,-4.559597551703412e-09,-3.2951430006449796e-09,1.514281534643623e-08,-3.76736330527721e-09,1.1785884451593748e-08,-7.467139296074394e-08,2.1566227151259424e-08,3.3431167983939386e-08,1.9348987721135968e-08,-1.5900510462572912e-08,-7.549374960121134e-08,2.516480088974365e-08,1.207559202629471e-08,-1.8078402909628848e-08,-6.855336818479996e-08,2.112369154586524e-09,-2.611041543515408e-09,-8.429227084447587e-09,9.191996066272449e-10,-2.392964953146075e-08
